symbol,name,price,change,change_percentage,market_value(100M),industry,date
9802,鈺齊-KY,101.5,0.0,0.0,189.0,其他業,2021/05/13
1808,潤隆,51.0,-1.1,-2.11,189.0,建材營造業,2021/05/13
2897,王道銀行,6.9,-0.02,-0.29,189.0,銀行業,2021/05/13
3264,欣銓,38.35,-0.05,-0.13,188.0,半導體業,2021/05/13
2520,冠德,37.0,-0.95,-2.5,186.0,建材營造業,2021/05/13
8422,可寧衛,171.0,0.0,0.0,186.0,其他業,2021/05/13
2031,新光鋼,60.2,-4.9,-7.53,185.0,鋼鐵工業,2021/05/13
2905,三商,20.35,-0.4,-1.93,185.0,貿易百貨業,2021/05/13
4551,智伸科,159.0,2.5,1.6,168.0,汽車工業,2021/05/13
1710,東聯,20.55,-1.2,-5.52,182.0,化學工業,2021/05/13
4105,東洋,73.2,-7.8,-9.63,182.0,生技醫療業,2021/05/13
2455,全新,98.0,2.4,2.51,181.0,通信網路業,2021/05/13
2247,汎德永業,224.5,-3.5,-1.54,181.0,汽車工業,2021/05/13
2597,潤弘,134.0,-5.5,-3.94,181.0,建材營造業,2021/05/13
6196,帆宣,96.1,1.5,1.59,180.0,其他電子業,2021/05/13
3413,京鼎,205.5,12.0,6.2,170.0,半導體業,2021/05/13
1795,美時,68.3,-1.7,-2.43,180.0,生技醫療業,2021/05/13
6414,樺漢,184.5,-4.5,-2.38,179.0,電腦及週邊設備業,2021/05/13
2338,光罩,69.9,0.9,1.3,177.0,半導體業,2021/05/13
1305,華夏,31.65,-0.55,-1.71,175.0,塑膠工業,2021/05/13
2393,億光,39.45,0.45,1.15,175.0,光電業,2021/05/13
5007,三星,59.0,-3.4,-5.45,174.0,鋼鐵工業,2021/05/13
9908,大台北,33.4,-0.65,-1.91,172.0,油電燃氣業,2021/05/13
8358,金居,68.1,2.4,3.65,172.0,電子零組件業,2021/05/13
2539,櫻花建,30.75,-0.05,-0.16,171.0,建材營造業,2021/05/13
4766,南寶,142.5,-5.5,-3.72,172.0,化學工業,2021/05/13
3707,漢磊,54.8,-1.2,-2.14,172.0,半導體業,2021/05/13
3010,華立,73.9,-1.6,-2.12,171.0,電子通路業,2021/05/13
2707,晶華,133.5,1.0,0.75,170.0,觀光事業,2021/05/13
3016,嘉晶,60.1,0.1,0.17,165.0,半導體業,2021/05/13
8131,福懋科,38.0,-0.25,-0.65,168.0,半導體業,2021/05/13
1103,嘉泥,21.55,-1.35,-5.9,167.0,水泥工業,2021/05/13
3014,聯陽,102.0,1.0,0.99,164.0,半導體業,2021/05/13
6541,泰福-KY,52.6,-1.5,-2.77,164.0,生技醫療業,2021/05/13
4137,麗豐-KY,204.0,1.5,0.74,162.0,生技醫療業,2021/05/13
8081,致新,188.0,17.0,9.94,162.0,半導體業,2021/05/13
1608,華榮,25.3,-2.8,-9.96,160.0,電器電纜,2021/05/13
4736,泰博,173.0,8.5,5.17,159.0,生技醫療業,2021/05/13
6756,威鋒電子,236.0,-8.0,-3.28,159.0,半導體業,2021/05/13
4147,中裕,62.5,-1.8,-2.8,158.0,生技醫療業,2021/05/13
3228,金麗科,232.5,-7.0,-2.92,158.0,半導體業,2021/05/13
1718,中纖,9.72,-0.48,-4.71,158.0,化學工業,2021/05/13
6230,尼得科超眾,182.0,-2.0,-1.09,157.0,電腦及週邊設備業,2021/05/13
6533,晶心科,366.0,4.0,1.1,156.0,半導體業,2021/05/13
5388,中磊,61.6,-1.7,-2.69,153.0,通信網路業,2021/05/13
1218,泰山,30.95,0.8,2.65,155.0,食品工業,2021/05/13
2617,台航,37.0,-4.1,-9.98,154.0,航運業,2021/05/13
2401,凌陽,26.05,0.75,2.96,154.0,半導體業,2021/05/13
6153,嘉聯益,27.6,0.65,2.41,154.0,電子零組件業,2021/05/13
3211,順達,104.0,3.0,2.97,153.0,電腦及週邊設備業,2021/05/13
1702,南僑,51.7,0.4,0.78,152.0,食品工業,2021/05/13
4157,太景*-KY,21.2,-0.35,-1.62,152.0,生技醫療業,2021/05/13
6803,崑鼎,220.0,2.5,1.15,152.0,其他業,2021/05/13
2913,農林,19.2,0.0,0.0,152.0,貿易百貨業,2021/05/13
2605,新興,25.85,-2.85,-9.93,151.0,航運業,2021/05/13
1308,亞聚,25.95,-1.9,-6.82,151.0,塑膠工業,2021/05/13
1609,大亞,25.35,-2.8,-9.95,151.0,電器電纜,2021/05/13
8406,金可-KY,154.5,1.0,0.65,150.0,生技醫療業,2021/05/13
2851,中再保,25.4,-0.35,-1.36,150.0,保險業,2021/05/13
5471,松翰,88.9,2.1,2.42,149.0,半導體業,2021/05/13
3552,同致,174.0,9.0,5.45,149.0,其他電子業,2021/05/13
3035,智原,59.5,0.1,0.17,148.0,半導體業,2021/05/13
6504,南六,203.5,16.5,8.82,148.0,其他業,2021/05/13
2481,強茂,44.0,0.5,1.15,146.0,半導體業,2021/05/13
8404,百和興業-KY,46.45,0.35,0.76,146.0,其他業,2021/05/13
6191,精成科,28.35,-0.05,-0.18,146.0,電子零組件業,2021/05/13
9925,新保,37.7,0.15,0.4,146.0,其他業,2021/05/13
